Operation_ID,Operator_ID,Operation_type,Operation_timestamp,OHH_code,Location_from,Location_to,Reference_ID,Reference_name,Qty,TKID_code,Order_ID,Operation_status
OP296860,A999999,ORDER,1764570644,502911,,,,,,373010,SMP80420,OK
OP296861,A999999,ORDER,1764570670,708510,,,,,,737384,AZO80931,OK
OP296862,A999999,ORDER,1764570811,575526,,,,,,671312,GAA80438,OK
OP296863,A999999,ORDER,1764570861,284457,,,,,,626887,AZO80209,OK
OP296864,A000017,MOVE,1764570906,273918,PROD,ST20,P00V80,"Edriseur turbo ""V80""",4,339472,SMP80736,OK
OP296865,A999999,ORDER,1764570941,128645,,,,,,504071,FOD79682,OK
OP296866,A000017,MOVE,1764571045,659640,PROD,ST10,P00X25,"Edriseur nouveau ""2025""",21,606717,AZO80931,OK
OP296867,A000024,MOVE,1764571060,83200,PROD,ST10,P00V80,"Edriseur turbo ""V80""",7,259754,SMP80420,OK
OP296868,A000062,MOVE,1764571071,174925,PROD,ST10,P00V90,"Edriseur turbo ""V90""",5,182433,AZO80209,OK
OP296869,A000106,MOVE,1764571205,700741,PROD,ST10,P00C13,"Edriseur type ""C13""",8,644325,FOD79682,OK
OP296870,A999999,ORDER,1764571242,395506,,,,,,583647,AZO81063,OK
OP296871,A000062,MOVE,1764571278,155620,PROD,ST10,P00V80,"Edriseur turbo ""V80""",2,39322,GAA80438,OK
OP296872,A000127,MOVE,1764571292,262271,ST10,TPA,P00X25,"Edriseur nouveau ""2025""",21,627711,AZO80931,OK
OP296873,A000017,MOVE,1764571518,648207,ST10,TPA,P00V80,"Edriseur turbo ""V80""",7,49697,SMP80420,OK
OP296874,A000017,MOVE,1764571522,352449,ST10,TPA,P00V90,"Edriseur turbo ""V90""",5,275510,AZO80209,OK
OP296875,A000133,MOVE,1764571649,520826,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",21,694042,AZO80931,OK
OP296876,A999999,ORDER,1764571653,108648,,,,,,603033,FOD80355,OK
OP296877,A000017,MOVE,1764571737,432734,ST10,TPA,P00C13,"Edriseur type ""C13""",8,405280,FOD79682,OK
OP296878,A999999,ORDER,1764571779,509952,,,,,,592526,FOD81594,OK
OP296879,A000127,MOVE,1764571925,284260,TPA,SHIP,P00V80,"Edriseur turbo ""V80""",7,538588,SMP80420,OK
OP296880,A000024,MOVE,1764572105,578713,ST10,QUA,P00C14,"Edriseur type ""C14""",95,624400,FOD80675,OK
OP296881,A999999,ORDER,1764572171,277887,,,,,,490416,FOD80704,OK
OP296882,A000024,MOVE,1764572188,568283,TPA,SHIP,P00C13,"Edriseur type ""C13""",8,751304,FOD79682,OK
OP296883,A000024,MOVE,1764572218,810990,PROD,ST10,P00C27,"Edriseur type ""C27""",5,692438,FOD80355,OK
OP296884,A000017,MOVE,1764572328,444507,PROD,ST20,P00V90,"Edriseur turbo ""V90""",57,149839,FOD81594,OK
OP296885,A000017,MOVE,1764572346,577584,TPA,SHIP,P00V90,"Edriseur turbo ""V90""",5,229853,AZO80209,OK
OP296886,A000062,MOVE,1764572394,605931,ST10,TPA,P00V80,"Edriseur turbo ""V80""",2,574871,GAA80438,OK
OP296887,A000017,MOVE,1764572427,798893,PROD,ST10,P00V90,"Edriseur turbo ""V90""",6,470874,FOD80704,OK
OP296888,A000024,MOVE,1764572443,783148,QUA,ST10,P00C14,"Edriseur type ""C14""",95,537188,FOD80675,OK
OP296889,A000017,MOVE,1764572620,416225,ST20,QUA,P00V90,"Edriseur turbo ""V90""",57,595144,FOD81594,OK
OP296890,A000133,MOVE,1764572663,666286,ST10,TPA,P00C27,"Edriseur type ""C27""",5,674479,FOD80355,OK
OP296891,A000024,MOVE,1764572685,18544,TPA,SHIP,P00V80,"Edriseur turbo ""V80""",2,325596,GAA80438,OK
OP296892,A999999,ORDER,1764572770,213510,,,,,,300748,GAA82021,OK
OP296893,A000127,MOVE,1764572799,59643,ST10,TPA,P00C14,"Edriseur type ""C14""",95,500753,FOD80675,OK
OP296894,A000017,MOVE,1764572825,230479,ST10,TPA,P00V90,"Edriseur turbo ""V90""",6,329641,FOD80704,OK
OP296895,A000127,MOVE,1764572887,326424,PROD,ST10,P00C37,"Edriseur type ""C37""",72,493702,AZO81063,OK
OP296896,A000017,MOVE,1764572933,45584,TPA,SHIP,P00C27,"Edriseur type ""C27""",5,772771,FOD80355,OK
OP296897,A000133,MOVE,1764573008,65530,TPA,SHIP,P00V90,"Edriseur turbo ""V90""",6,592697,FOD80704,OK
OP296898,A999999,ORDER,1764573137,556703,,,,,,295357,AZO80325,OK
OP296899,A000024,MOVE,1764573290,629687,TPA,SHIP,P00C14,"Edriseur type ""C14""",95,665372,FOD80675,OK
OP296900,A000024,MOVE,1764573334,654249,PROD,TPA,P00V90,"Edriseur turbo ""V90""",4,125824,GAA82021,OK
OP296901,A000017,MOVE,1764573390,17407,ST10,TPA,P00C37,"Edriseur type ""C37""",72,514982,AZO81063,OK
OP296902,A999999,ORDER,1764573411,391399,,,,,,564904,AZO80831,OK
OP296903,A000127,MOVE,1764573489,762838,ST20,QUA,P00V80,"Edriseur turbo ""V80""",4,111300,SMP80736,OK
OP296904,A000017,MOVE,1764573708,201598,PROD,TPA,P00V85,"Edriseur turbo ""V85""",49,566790,AZO80325,OK
OP296905,A000017,MOVE,1764573788,284083,QUA,ST20,P00V90,"Edriseur turbo ""V90""",57,600411,FOD81594,OK
OP296906,A000017,MOVE,1764573962,70179,ST20,TPA,P00V90,"Edriseur turbo ""V90""",57,222792,FOD81594,OK
OP296907,A000127,MOVE,1764573966,472218,PROD,TPA,P00X02,"Edriseur luxe ""X02""",12,78772,AZO80831,OK
OP296908,A000127,MOVE,1764574112,102309,TPA,SHIP,P00C37,"Edriseur type ""C37""",72,753896,AZO81063,OK
OP296909,A000017,MOVE,1764574113,664927,TPA,SHIP,P00V90,"Edriseur turbo ""V90""",57,344062,FOD81594,OK
OP296910,A000024,MOVE,1764574273,791967,TPA,SHIP,P00V85,"Edriseur turbo ""V85""",49,712752,AZO80325,OK
OP296911,A000024,MOVE,1764574380,359859,TPA,SHIP,P00X02,"Edriseur luxe ""X02""",12,39544,AZO80831,OK
OP296912,A000024,MOVE,1764574392,163618,QUA,ST20,P00V80,"Edriseur turbo ""V80""",4,708154,SMP80736,OK
OP296913,A000024,MOVE,1764574526,22138,TPA,SHIP,P00V90,"Edriseur turbo ""V90""",4,6288,GAA82021,OK
OP296914,A000133,MOVE,1764574675,300872,ST20,TPA,P00V80,"Edriseur turbo ""V80""",4,799387,SMP80736,OK
OP296915,A999999,ORDER,1764574796,175514,,,,,,447328,FOD81691,OK
OP296916,A999999,ORDER,1764574827,515434,,,,,,555719,FOD81282,OK
OP296917,A999999,ORDER,1764574884,487768,,,,,,685663,AZO80213,OK
OP296918,A999999,ORDER,1764575041,4035,,,,,,409984,AZO79795,OK
OP296919,A000017,MOVE,1764575088,299892,TPA,SHIP,P00V80,"Edriseur turbo ""V80""",4,596651,SMP80736,OK
OP296920,A000024,MOVE,1764575250,86638,PROD,ST20,P00C13,"Edriseur type ""C13""",2,742608,AZO79795,OK
OP296921,A000127,MOVE,1764575331,345203,PROD,ST10,P00C14,"Edriseur type ""C14""",16,141588,FOD81282,OK
OP296922,A000062,MOVE,1764575379,713526,ST20,QUA,P00C13,"Edriseur type ""C13""",2,53993,AZO79795,OK
OP296923,A000024,MOVE,1764575533,746069,PROD,ST20,P00V90,"Edriseur turbo ""V90""",23,765371,AZO80213,OK
OP296924,A000133,MOVE,1764575675,527493,ST10,TPA,P00C14,"Edriseur type ""C14""",16,71449,FOD81282,OK
OP296925,A000127,MOVE,1764575776,670501,PROD,TPA,P00X01,"Edriseur luxe ""X01""",70,23863,FOD81691,OK
OP296926,A000017,MOVE,1764575880,162122,QUA,ST20,P00C13,"Edriseur type ""C13""",2,480649,AZO79795,OK
OP296927,A999999,ORDER,1764575899,739086,,,,,,444180,AZO81296,OK
OP296928,A000127,MOVE,1764575963,447930,TPA,SHIP,P00C14,"Edriseur type ""C14""",16,320182,FOD81282,OK
OP296929,A000017,MOVE,1764575974,611521,ST20,QUA,P00V90,"Edriseur turbo ""V90""",23,718073,AZO80213,OK
OP296930,A000017,MOVE,1764576120,212026,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",70,259708,FOD81691,OK
OP296931,A000106,MOVE,1764576191,567262,QUA,ST20,P00V90,"Edriseur turbo ""V90""",23,473742,AZO80213,OK
OP296932,A999999,ORDER,1764576345,207534,,,,,,413224,GAA80793,OK
OP296933,A000017,MOVE,1764576393,401046,ST20,TPA,P00C13,"Edriseur type ""C13""",2,503742,AZO79795,OK
OP296934,A999999,ORDER,1764576497,445915,,,,,,611051,FOD81840,OK
OP296935,A000017,MOVE,1764576552,726161,PROD,TPA,P00X01,"Edriseur luxe ""X01""",4,430052,GAA80793,OK
OP296936,A000024,MOVE,1764576781,422869,ST20,TPA,P00V90,"Edriseur turbo ""V90""",23,658459,AZO80213,OK
OP296937,A000024,MOVE,1764576896,319501,PROD,ST10,P00X25,"Edriseur nouveau ""2025""",5,393010,AZO81296,OK
OP296938,A000017,MOVE,1764576951,641347,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",4,421600,GAA80793,OK
OP296939,A000017,MOVE,1764576958,213375,TPA,SHIP,P00C13,"Edriseur type ""C13""",2,529709,AZO79795,OK
OP296940,A999999,ORDER,1764576989,127089,,,,,,808677,AZO81793,OK
OP296941,A000127,MOVE,1764577222,259832,ST10,TPA,P00X25,"Edriseur nouveau ""2025""",5,263403,AZO81296,OK
OP296942,A000127,MOVE,1764577304,654575,PROD,ST10,P00C27,"Edriseur type ""C27""",39,55240,AZO81793,OK
OP296943,A000017,MOVE,1764577593,257157,ST10,TPA,P00C27,"Edriseur type ""C27""",39,146012,AZO81793,OK
OP296944,A999999,ORDER,1764577606,535062,,,,,,736507,AZO80782,OK
OP296945,A000017,MOVE,1764577682,199723,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",5,94449,AZO81296,OK
OP296946,A000128,MOVE,1764577686,576901,TPA,SHIP,P00V90,"Edriseur turbo ""V90""",23,93013,AZO80213,OK
OP296947,A000024,MOVE,1764577812,127322,PROD,ST20,P00X01,"Edriseur luxe ""X01""",10,812018,AZO80782,OK
OP296948,A000017,MOVE,1764577980,112671,TPA,SHIP,P00C27,"Edriseur type ""C27""",39,726828,AZO81793,OK
OP296949,A999999,ORDER,1764578190,229355,,,,,,270608,SMP80754,OK
OP296950,A000017,MOVE,1764578389,379683,ST20,QUA,P00X01,"Edriseur luxe ""X01""",10,802090,AZO80782,OK
OP296951,A000024,MOVE,1764578566,231184,QUA,ST20,P00X01,"Edriseur luxe ""X01""",10,274031,AZO80782,OK
OP296952,A000106,MOVE,1764578572,612680,PROD,ST10,P00X02,"Edriseur luxe ""X02""",7,716990,SMP80754,OK
OP296953,A000017,MOVE,1764578654,254032,PROD,ST10,P00C27,"Edriseur type ""C27""",2,192455,FOD81840,OK
OP296954,A000133,MOVE,1764578797,731639,ST20,TPA,P00X01,"Edriseur luxe ""X01""",10,555636,AZO80782,OK
OP296955,A000106,MOVE,1764578838,141548,ST10,TPA,P00C27,"Edriseur type ""C27""",2,559758,FOD81840,OK
OP296956,A999999,ORDER,1764578886,212707,,,,,,763959,SMP81331,OK
OP296957,A999999,ORDER,1764578902,739514,,,,,,297063,AZO80940,OK
OP296958,A000017,MOVE,1764578990,73278,ST10,TPA,P00X02,"Edriseur luxe ""X02""",7,501900,SMP80754,OK
OP296959,A000024,MOVE,1764579057,145440,PROD,ST10,P00C27,"Edriseur type ""C27""",31,369371,AZO80940,OK
OP296960,A999999,ORDER,1764579073,125577,,,,,,210084,FOD80950,OK
OP296961,A999999,ORDER,1764579200,163597,,,,,,172834,SMP80361,OK
OP296962,A000017,MOVE,1764579230,682096,TPA,SHIP,P00X02,"Edriseur luxe ""X02""",7,675166,SMP80754,OK
OP296963,A000127,MOVE,1764579305,500550,TPA,SHIP,P00C27,"Edriseur type ""C27""",2,755628,FOD81840,OK
OP296964,A000127,MOVE,1764579328,685523,PROD,ST20,P00V85,"Edriseur turbo ""V85""",25,43215,FOD80950,OK
OP296965,A000024,MOVE,1764579342,197953,PROD,ST10,P00V90,"Edriseur turbo ""V90""",2,223660,SMP81331,OK
OP296966,A000024,MOVE,1764579468,686123,ST10,TPA,P00V90,"Edriseur turbo ""V90""",2,226530,SMP81331,OK
OP296967,A000024,MOVE,1764579474,714456,PROD,ST10,P00C37,"Edriseur type ""C37""",6,150775,SMP80361,OK
OP296968,A000062,MOVE,1764579550,139339,ST20,QUA,P00V85,"Edriseur turbo ""V85""",25,277764,FOD80950,OK
OP296969,A000133,MOVE,1764579563,545508,ST10,QUA,P00C27,"Edriseur type ""C27""",31,487233,AZO80940,OK
OP296970,A000127,MOVE,1764579701,731104,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",10,527189,AZO80782,OK
OP296971,A000024,MOVE,1764580044,526773,QUA,ST20,P00V85,"Edriseur turbo ""V85""",25,19567,FOD80950,OK
OP296972,A000024,MOVE,1764580055,275137,ST10,TPA,P00C37,"Edriseur type ""C37""",6,621912,SMP80361,OK
OP296973,A000133,MOVE,1764580087,502586,QUA,ST10,P00C27,"Edriseur type ""C27""",31,67289,AZO80940,OK
OP296974,A999999,ORDER,1764580122,765080,,,,,,621618,FOD80554,OK
OP296975,A999999,ORDER,1764580188,758368,,,,,,453119,FOD80056,OK
OP296976,A000017,MOVE,1764580243,623291,PROD,ST10,P00C14,"Edriseur type ""C14""",21,717336,FOD80554,OK
OP296977,A000024,MOVE,1764580311,4625,ST20,TPA,P00V85,"Edriseur turbo ""V85""",25,474305,FOD80950,OK
OP296978,A000024,MOVE,1764580360,440360,PROD,ST10,P00C27,"Edriseur type ""C27""",5,31428,FOD80056,OK
OP296979,A000062,MOVE,1764580363,196865,TPA,SHIP,P00C37,"Edriseur type ""C37""",6,778150,SMP80361,OK
OP296980,A999999,ORDER,1764580371,561050,,,,,,427541,GAA81742,OK
OP296981,A000133,MOVE,1764580505,135399,PROD,TPA,P00V90,"Edriseur turbo ""V90""",33,136782,GAA81742,OK
OP296982,A000133,MOVE,1764580509,226643,ST10,TPA,P00C27,"Edriseur type ""C27""",5,150309,FOD80056,OK
OP296983,A999999,ORDER,1764580579,747632,,,,,,482999,AZO81815,OK
OP296984,A000024,MOVE,1764580580,489033,ST10,TPA,P00C27,"Edriseur type ""C27""",31,157217,AZO80940,OK
OP296985,A999999,ORDER,1764580667,41817,,,,,,732359,AZO82014,OK
OP296986,A000024,MOVE,1764580755,566369,TPA,SHIP,P00V90,"Edriseur turbo ""V90""",2,384315,SMP81331,OK
OP296987,A000127,MOVE,1764580777,775237,ST10,TPA,P00C14,"Edriseur type ""C14""",21,445836,FOD80554,OK
OP296988,A000024,MOVE,1764580821,2107,TPA,SHIP,P00V85,"Edriseur turbo ""V85""",25,491988,FOD80950,OK
OP296989,A000127,MOVE,1764580887,212242,TPA,SHIP,P00C27,"Edriseur type ""C27""",31,4667,AZO80940,OK
OP296990,A000127,MOVE,1764580951,537968,TPA,SHIP,P00V90,"Edriseur turbo ""V90""",33,149866,GAA81742,OK
OP296991,A000133,MOVE,1764581044,127136,PROD,TPA,P00C37,"Edriseur type ""C37""",3,466408,AZO81815,OK
OP296992,A999999,ORDER,1764581061,203192,,,,,,792287,AZO81668,OK
OP296993,A000017,MOVE,1764581071,545446,PROD,ST10,P00X25,"Edriseur nouveau ""2025""",45,458413,AZO82014,OK
OP296994,A000106,MOVE,1764581260,374577,TPA,SHIP,P00C14,"Edriseur type ""C14""",21,669247,FOD80554,OK
OP296995,A999999,ORDER,1764581270,515845,,,,,,530973,AZO79923,OK
OP296996,A000017,MOVE,1764581294,494024,TPA,SHIP,P00C27,"Edriseur type ""C27""",5,497856,FOD80056,OK
OP296997,A000024,MOVE,1764581317,193953,TPA,SHIP,P00C37,"Edriseur type ""C37""",3,121330,AZO81815,OK
OP296998,A000024,MOVE,1764581410,20482,PROD,TPA,P00X01,"Edriseur luxe ""X01""",41,421162,AZO79923,OK
OP296999,A000024,MOVE,1764581552,325775,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",41,526609,AZO79923,OK
OP297000,A000133,MOVE,1764581943,312016,PROD,TPA,P00V80,"Edriseur turbo ""V80""",8,208672,AZO81668,OK
OP297001,A999999,ORDER,1764582152,613717,,,,,,725738,SMP80929,OK
OP297002,A000133,MOVE,1764582375,141849,PROD,ST10,P00X99,"Edriseur luxe ""X99""",7,350555,SMP80929,OK
OP297003,A000024,MOVE,1764582483,144849,TPA,SHIP,P00V80,"Edriseur turbo ""V80""",8,451493,AZO81668,OK
OP297004,A999999,ORDER,1764582686,87818,,,,,,519788,FOD81989,OK
OP297005,A000017,MOVE,1764582800,446735,ST10,TPA,P00X99,"Edriseur luxe ""X99""",7,523377,SMP80929,OK
OP297006,A000024,MOVE,1764583119,44889,PROD,ST20,P00C19,"Edriseur type ""C19""",42,688223,FOD81989,OK
OP297007,A000017,MOVE,1764583319,118974,ST10,TPA,P00X25,"Edriseur nouveau ""2025""",45,372484,AZO82014,OK
OP297008,A000024,MOVE,1764583353,433797,TPA,SHIP,P00X99,"Edriseur luxe ""X99""",7,293496,SMP80929,OK
OP297009,A000133,MOVE,1764583358,649348,ST20,QUA,P00C19,"Edriseur type ""C19""",42,20094,FOD81989,OK
OP297010,A999999,ORDER,1764583447,713219,,,,,,128254,FOD80722,OK
OP297011,A999999,ORDER,1764583487,239563,,,,,,610820,AZO81266,OK
OP297012,A999999,ORDER,1764583488,670007,,,,,,509571,GAA80046,OK
OP297013,A000017,MOVE,1764583622,459831,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",45,135720,AZO82014,OK
OP297014,A000024,MOVE,1764583693,645695,PROD,TPA,P00X25,"Edriseur nouveau ""2025""",6,788093,GAA80046,OK
OP297015,A000062,MOVE,1764583905,540553,QUA,ST20,P00C19,"Edriseur type ""C19""",42,672250,FOD81989,OK
OP297016,A000024,MOVE,1764584017,444938,PROD,TPA,P00V85,"Edriseur turbo ""V85""",19,70193,FOD80722,OK
OP297017,A000127,MOVE,1764584067,676346,PROD,TPA,P00X25,"Edriseur nouveau ""2025""",51,329420,AZO81266,OK
OP297018,A000024,MOVE,1764584085,20077,ST20,TPA,P00C19,"Edriseur type ""C19""",42,292411,FOD81989,OK
OP297019,A999999,ORDER,1764584136,26855,,,,,,5164,FOD80268,OK
OP297020,A000024,MOVE,1764584310,431934,PROD,TPA,P00V80,"Edriseur turbo ""V80""",4,325348,FOD80268,OK
OP297021,A000024,MOVE,1764584332,89062,TPA,SHIP,P00V85,"Edriseur turbo ""V85""",19,125213,FOD80722,OK
OP297022,A000017,MOVE,1764584477,58168,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",6,197954,GAA80046,OK
OP297023,A000062,MOVE,1764584543,327798,TPA,SHIP,P00V80,"Edriseur turbo ""V80""",4,115977,FOD80268,OK
OP297024,A000017,MOVE,1764584563,93326,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",51,596757,AZO81266,OK
OP297025,A000024,MOVE,1764584605,767144,TPA,SHIP,P00C19,"Edriseur type ""C19""",42,110080,FOD81989,OK
OP297026,A999999,ORDER,1764585114,781201,,,,,,498360,AZO79704,OK
OP297027,A000017,MOVE,1764585652,788460,PROD,ST10,P00V80,"Edriseur turbo ""V80""",3,442441,AZO79704,OK
OP297028,A999999,ORDER,1764585732,354645,,,,,,283174,AZO80798,OK
OP297029,A999999,ORDER,1764585941,810038,,,,,,465931,AZO81272,OK
OP297030,A000017,MOVE,1764585950,586074,PROD,ST10,P00C14,"Edriseur type ""C14""",51,203509,AZO80798,OK
OP297031,A999999,ORDER,1764585993,728868,,,,,,737585,AZO81406,OK
OP297032,A000133,MOVE,1764586200,149750,ST10,QUA,P00V80,"Edriseur turbo ""V80""",3,787085,AZO79704,OK
OP297033,A999999,ORDER,1764586291,459551,,,,,,211051,AZO79902,OK
OP297034,A000017,MOVE,1764586321,440465,PROD,ST20,P00X02,"Edriseur luxe ""X02""",38,432407,AZO81406,OK
OP297035,A000133,MOVE,1764586550,773036,PROD,ST10,P00C19,"Edriseur type ""C19""",44,654693,AZO79902,OK
OP297036,A999999,ORDER,1764586555,209145,,,,,,22891,GAA81028,OK
OP297037,A999999,ORDER,1764586619,404082,,,,,,109682,AZO81510,OK
OP297038,A000017,MOVE,1764586705,125553,ST10,TPA,P00C19,"Edriseur type ""C19""",44,305773,AZO79902,OK
OP297039,A000127,MOVE,1764586757,446578,QUA,ST10,P00V80,"Edriseur turbo ""V80""",3,739766,AZO79704,OK
OP297040,A999999,ORDER,1764586793,490184,,,,,,598070,FOD81325,OK
OP297041,A000133,MOVE,1764586842,633161,ST20,QUA,P00X02,"Edriseur luxe ""X02""",38,682517,AZO81406,OK
OP297042,A000024,MOVE,1764587010,757820,TPA,SHIP,P00C19,"Edriseur type ""C19""",44,760956,AZO79902,OK
OP297043,A000017,MOVE,1764587035,792719,ST10,TPA,P00V80,"Edriseur turbo ""V80""",3,637047,AZO79704,OK
OP297044,A000106,MOVE,1764587201,382353,PROD,TPA,P00C14,"Edriseur type ""C14""",20,378946,GAA81028,OK
OP297045,A000017,MOVE,1764587204,175467,PROD,ST20,P00X01,"Edriseur luxe ""X01""",8,613866,AZO81272,OK
OP297046,A000127,MOVE,1764587262,470601,TPA,SHIP,P00V80,"Edriseur turbo ""V80""",3,505448,AZO79704,OK
OP297047,A000017,MOVE,1764587483,779403,PROD,TPA,P00X02,"Edriseur luxe ""X02""",3,655790,FOD81325,OK
OP297048,A000127,MOVE,1764587570,593695,ST10,TPA,P00C14,"Edriseur type ""C14""",51,598215,AZO80798,OK
OP297049,A000017,MOVE,1764587600,717800,TPA,SHIP,P00C14,"Edriseur type ""C14""",20,527376,GAA81028,OK
OP297050,A999999,ORDER,1764587669,736986,,,,,,107887,AZO80407,OK
OP297051,A000017,MOVE,1764587788,247947,PROD,ST10,P00V90,"Edriseur turbo ""V90""",30,296206,AZO81510,OK
